datetime,location,depth_m,temp_degC
2024-06-15 10:30:00,Kipawa,1.5,14.883662109374995
2024-06-15 11:00:00,Kipawa,1.5,14.926562499999996
2024-06-15 11:30:00,Kipawa,1.5,14.626259765625
2024-06-15 12:00:00,Kipawa,1.5,14.969462890624996
2024-06-15 12:30:00,Kipawa,1.5,15.183964843749997
2024-06-15 13:00:00,Kipawa,1.5,15.055263671874997
2024-06-15 13:30:00,Kipawa,1.5,15.269765624999998
2024-06-15 14:00:00,Kipawa,1.5,15.355566406249999
2024-06-15 14:30:00,Kipawa,1.5,15.226865234374998
2024-06-15 15:00:00,Kipawa,1.5,15.012363281249996
2024-06-15 15:30:00,Kipawa,1.5,15.055263671874997
2024-06-15 16:00:00,Kipawa,1.5,15.355566406249999
2024-06-15 16:30:00,Kipawa,1.5,15.52716796875
2024-06-15 17:00:00,Kipawa,1.5,15.012363281249996
2024-06-15 17:30:00,Kipawa,1.5,15.312666015624998
2024-06-15 18:00:00,Kipawa,1.5,15.012363281249996
2024-06-15 18:30:00,Kipawa,1.5,15.141064453124997
2024-06-15 19:00:00,Kipawa,1.5,15.52716796875
2024-06-15 19:30:00,Kipawa,1.5,15.69876953125
2024-06-15 20:00:00,Kipawa,1.5,15.870371093749995
2024-06-15 20:30:00,Kipawa,1.5,16.084873046874996
2024-06-15 21:00:00,Kipawa,1.5,15.61296875
2024-06-15 21:30:00,Kipawa,1.5,15.956171874999995
2024-06-15 22:00:00,Kipawa,1.5,15.999072265624996
2024-06-15 22:30:00,Kipawa,1.5,15.956171874999995
2024-06-15 23:00:00,Kipawa,1.5,15.784570312500001
2024-06-15 23:30:00,Kipawa,1.5,15.999072265624996
2024-06-16 00:00:00,Kipawa,1.5,15.913271484374995
2024-06-16 00:30:00,Kipawa,1.5,15.784570312500001
2024-06-16 01:00:00,Kipawa,1.5,15.784570312500001
2024-06-16 01:30:00,Kipawa,1.5,15.827470703125002
2024-06-16 02:00:00,Kipawa,1.5,15.69876953125
2024-06-16 02:30:00,Kipawa,1.5,15.655869140625
2024-06-16 03:00:00,Kipawa,1.5,15.69876953125
2024-06-16 03:30:00,Kipawa,1.5,15.741669921875001
2024-06-16 04:00:00,Kipawa,1.5,15.827470703125002
2024-06-16 04:30:00,Kipawa,1.5,16.4709765625
2024-06-16 05:00:00,Kipawa,1.5,16.428076171875
2024-06-16 05:30:00,Kipawa,1.5,16.428076171875
2024-06-16 06:00:00,Kipawa,1.5,16.38517578125
2024-06-16 06:30:00,Kipawa,1.5,16.428076171875
2024-06-16 07:00:00,Kipawa,1.5,16.513876953125
2024-06-16 07:30:00,Kipawa,1.5,16.55677734375
2024-06-16 08:00:00,Kipawa,1.5,16.599677734375
2024-06-16 08:30:00,Kipawa,1.5,16.685478515625
2024-06-16 09:00:00,Kipawa,1.5,16.72837890625
2024-06-16 09:30:00,Kipawa,1.5,16.771279296875
2024-06-16 10:00:00,Kipawa,1.5,16.8141796875
2024-06-16 10:30:00,Kipawa,1.5,16.857080078125
2024-06-16 11:00:00,Kipawa,1.5,16.857080078125
2024-06-16 11:30:00,Kipawa,1.5,16.89998046875
2024-06-16 12:00:00,Kipawa,1.5,16.857080078125
2024-06-16 12:30:00,Kipawa,1.5,16.857080078125
2024-06-16 13:00:00,Kipawa,1.5,16.942880859374995
2024-06-16 13:30:00,Kipawa,1.5,16.942880859374995
2024-06-16 14:00:00,Kipawa,1.5,16.985781249999995
2024-06-16 14:30:00,Kipawa,1.5,17.028681640624995
2024-06-16 15:00:00,Kipawa,1.5,17.028681640624995
2024-06-16 15:30:00,Kipawa,1.5,17.028681640624995
2024-06-16 16:00:00,Kipawa,1.5,17.071582031249996
2024-06-16 16:30:00,Kipawa,1.5,17.028681640624995
2024-06-16 17:00:00,Kipawa,1.5,17.071582031249996
2024-06-16 17:30:00,Kipawa,1.5,17.071582031249996
2024-06-16 18:00:00,Kipawa,1.5,16.985781249999995
2024-06-16 18:30:00,Kipawa,1.5,16.942880859374995
